num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
14,100000000,0.585506,20.1012,56.2105,26.9987,29.9119,3.1415926536,3.1415926536,3.1415926536,3.1414601803,3.1413013935
14,100000000,0.584638,21.4622,55.2982,27.3448,30.4034,3.1415926536,3.1415926536,3.1415926536,3.1416220665,3.1412172318
14,100000000,0.584955,18.7939,57.5351,30.5061,33.8956,3.1415926536,3.1415926536,3.1415926536,3.1414060593,3.1411843300
14,100000000,0.584671,22.4302,61.2183,28.182,30.9025,3.1415926536,3.1415926536,3.1415926536,3.1414370537,3.1412589550
14,100000000,0.584799,22.3199,62.3325,27.1445,30.8847,3.1415926536,3.1415926536,3.1415926536,3.1415810585,3.1413753033
14,100000000,0.585329,24.119,62.9104,28.7712,32.4384,3.1415926536,3.1415926536,3.1415926536,3.1417615414,3.1410710812
14,100000000,0.584892,18.2128,60.7676,33.2541,36.6454,3.1415926536,3.1415926536,3.1415926536,3.1416332722,3.1412627697
14,100000000,0.584362,22.0684,66.2474,29.7207,32.6488,3.1415926536,3.1415926536,3.1415926536,3.1413938999,3.1414089203
14,100000000,0.584845,22.0507,64.195,31.0419,33.4699,3.1415926536,3.1415926536,3.1415926536,3.1414601803,3.1412985325
14,100000000,0.585341,21.3496,57.7896,35.3905,37.715,3.1415926536,3.1415926536,3.1415926536,3.1416182518,3.1413178444
14,100000000,0.585248,18.367,59.5651,35.7772,39.5047,3.1415926536,3.1415926536,3.1415926536,3.1416864395,3.1411461830
14,100000000,0.585393,22.617,52.1636,38.6117,43.1007,3.1415926536,3.1415926536,3.1415926536,3.1415257454,3.1411943436
14,100000000,0.585279,20.7609,63.081,36.1055,38.4546,3.1415926536,3.1415926536,3.1415926536,3.1415948868,3.1412107944
14,100000000,0.585331,24.0628,53.2859,39.2889,41.875,3.1415926536,3.1415926536,3.1415926536,3.1413602829,3.1413118839
14,100000000,0.584823,20.9663,53.8889,41.2118,44.8107,3.1415926536,3.1415926536,3.1415926536,3.1414866447,3.1412527561
14,100000000,0.584527,21.8118,66.5362,35.3561,37.5259,3.1415926536,3.1415926536,3.1415926536,3.1413843632,3.1412107944
14,100000000,0.584994,20.9286,57.5971,40.7834,44.108,3.1415926536,3.1415926536,3.1415926536,3.1414163113,3.1411266327
14,100000000,0.58564,23.3899,63.2579,39.3797,43.3736,3.1415926536,3.1415926536,3.1415926536,3.1414477825,3.1412396431
14,100000000,0.585148,23.5899,84.9143,45.7119,53.9289,3.1415926536,3.1415926536,3.1415926536,3.1415753365,3.1413338184
14,100000000,0.584906,18.8033,67.5649,64.6309,60.4059,3.1415926536,3.1415926536,3.1415926536,3.1415665150,3.1412816048
