num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
1,100000000,0.585664,1.51733,1.36719,2.42981,3.00004,3.1415926536,3.1415926536,3.1415926536,3.1416978836,3.1414201260
2,100000000,0.58563,5.00563,15.8995,7.15225,8.59215,3.1415926536,3.1415926536,3.1415926536,3.1415948868,3.1415989399
3,100000000,0.585244,6.81979,15.4689,15.9411,17.8117,3.1415926536,3.1415926536,3.1415926536,3.1415927410,3.1413509846
4,100000000,0.585424,8.43556,27.9609,16.4927,17.8417,3.1415926536,3.1415926536,3.1415926536,3.1414079666,3.1412632465
5,100000000,0.585498,12.7683,54.5821,39.2843,44.2866,3.1415926536,3.1415926536,3.1415926536,3.1416373253,3.1413576603
6,100000000,0.585359,12.6704,38.1137,24.043,26.1204,3.1415926536,3.1415926536,3.1415926536,3.1415977478,3.1411345005
7,100000000,0.585422,17.5322,43.989,41.8511,45.1066,3.1415926536,3.1415926536,3.1415926536,3.1414349079,3.1410536766
8,100000000,0.58463,15.488,45.5885,22.1959,25.7272,3.1415926536,3.1415926536,3.1415926536,3.1416893005,3.1412556171
9,100000000,0.585039,17.8459,51.1494,27.8786,31.6252,3.1415926536,3.1415926536,3.1415926536,3.1415305138,3.1412677765
10,100000000,0.584842,21.8194,51.0965,24.9492,27.7536,3.1415926536,3.1415926536,3.1415926536,3.1416039467,3.1410841942
11,100000000,0.58542,15.8768,59.5183,24.2941,26.5622,3.1415926536,3.1415926536,3.1415926536,3.1417381763,3.1411092281
12,100000000,0.585422,19.9033,51.1256,43.2861,49.716,3.1415926536,3.1415926536,3.1415926536,3.1415677071,3.1412420273
13,100000000,0.585641,20.67,60.9974,25.0553,28.0077,3.1415926536,3.1415926536,3.1415926536,3.1416499615,3.1413319111
14,100000000,0.585486,19.5578,54.7426,41.4742,44.9893,3.1415926536,3.1415926536,3.1415926536,3.1415235996,3.1411590576
15,100000000,0.585638,22.1354,80.8447,48.4233,52.018,3.1415926536,3.1415926536,3.1415926536,3.1416735649,3.1414108276
16,100000000,0.585213,18.986,71.6457,24.9537,27.7728,3.1415926536,3.1415926536,3.1415926536,3.1416165829,3.1413798332
17,100000000,0.585575,22.1247,65.1106,38.3775,43.0875,3.1415926536,3.1415926536,3.1415926536,3.1415562630,3.1412076950
18,100000000,0.585431,21.1163,76.1381,38.0464,40.7793,3.1415926536,3.1415926536,3.1415926536,3.1413240433,3.1411485672
19,100000000,0.585973,22.2717,74.9876,24.759,28.4077,3.1415926536,3.1415926536,3.1415926536,3.1415951252,3.1412875652
20,100000000,0.584473,18.822,85.1768,43.179,45.5016,3.1415926536,3.1415926536,3.1415926536,3.1415128708,3.1411986351
