num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
1,100000000.0,0.585446,1.5165533333333334,1.3661633333333334,2.427753333333333,2.9966266666666663,3.1415926536,3.1415926536,3.1415926536,3.1416978836000005,3.141420126
2,100000000.0,0.5855583333333333,4.575076666666667,14.375066666666664,5.94075,7.2848033333333335,3.1415926536,3.1415926536,3.1415926536,3.141637166366667,3.1414270401
3,100000000.0,0.5856873333333333,6.37444,16.353166666666667,15.737566666666666,18.272433333333336,3.1415926536,3.1415926536,3.1415926536,3.141600211466667,3.141383886333333
4,100000000.0,0.5852393333333333,7.872766666666667,27.9288,16.248966666666664,17.677899999999998,3.1415926536,3.1415926536,3.1415926536,3.1415806611333337,3.1413321494999997
5,100000000.0,0.5855113333333333,12.291466666666667,45.1183,36.19976666666667,40.067933333333336,3.1415926536,3.1415926536,3.1415926536,3.1415793895666666,3.1412697633
6,100000000.0,0.5849743333333334,9.69213,33.909,39.3202,42.80393333333333,3.1415926536,3.1415926536,3.1415926536,3.1414914131000002,3.1412323315666666
7,100000000.0,0.5852883333333333,15.8818,41.43279999999999,32.616099999999996,35.926766666666666,3.1415926536,3.1415926536,3.1415926536,3.1415523687999998,3.141203721366667
8,100000000.0,0.5855296666666666,15.097800000000001,54.64556666666667,35.2961,40.39126666666667,3.1415926536,3.1415926536,3.1415926536,3.1416023572333334,3.1412293911
9,100000000.0,0.5857960000000001,18.699566666666666,67.66746666666667,51.33906666666667,54.15656666666666,3.1415926536,3.1415926536,3.1415926536,3.1415729523,3.1413655281333335
10,100000000.0,0.585265,18.452566666666666,53.402166666666666,30.993100000000002,34.125166666666665,3.1415926536,3.1415926536,3.1415926536,3.1414869626333335,3.1411910851666662
11,100000000.0,0.6203076666666667,17.17696666666667,68.384,43.85013333333333,46.96793333333333,3.1415926536,3.1415926536,3.1415926536,3.1415659586666664,3.1412119865333334
12,100000000.0,0.585766,21.723033333333333,60.09473333333333,39.80453333333333,45.43423333333334,3.1415926536,3.1415926536,3.1415926536,3.141602595666667,3.141339937866667
13,100000000.0,0.5857076666666666,19.22136666666667,59.8227,24.312366666666666,26.91763333333333,3.1415926536,3.1415926536,3.1415926536,3.1416034698666664,3.1412669817666665
14,100000000.0,0.5855723333333334,20.1156,58.627100000000006,39.57156666666666,42.52643333333334,3.1415926536,3.1415926536,3.1415926536,3.141467650733333,3.1411723295666665
15,100000000.0,0.5856446666666667,22.594099999999997,69.43006666666666,45.34896666666666,48.894933333333334,3.1415926536,3.1415926536,3.1415926536,3.1415964762333335,3.1412492593000003
16,100000000.0,0.585454,20.830133333333333,91.76936666666666,39.050000000000004,42.9153,3.1415926536,3.1415926536,3.1415926536,3.1416695912666666,3.1413161754333334
17,100000000.0,0.5856093333333333,20.727966666666667,69.10406666666667,34.743566666666666,38.003233333333334,3.1415926536,3.1415926536,3.1415926536,3.1415822506000004,3.1411780516333336
18,100000000.0,0.5856343333333333,21.6745,72.04866666666668,35.86286666666667,39.495200000000004,3.1415926536,3.1415926536,3.1415926536,3.141386350033333,3.1411941846333336
19,100000000.0,0.5855783333333333,22.48753333333333,75.10606666666666,25.46556666666667,28.398466666666668,3.1415926536,3.1415926536,3.1415926536,3.141550381966667,3.1412537892666665
20,100000000.0,0.5849133333333333,21.69713333333333,95.06676666666668,51.46033333333333,57.35593333333333,3.1415926536,3.1415926536,3.1415926536,3.1416317621666665,3.1412782669
