num_threads,num_items,serial_time,nlogn_time,n_time
6,335544320,0.227638,1.64803,1.56829
9,335544320,0.227258,1.85029,1.75847
2,335544320,0.226567,1.93813,1.61667
26,335544320,0.224512,2.02359,1.65971
4,335544320,0.237944,1.7758,1.59443
5,335544320,0.227151,2.21032,1.64316
28,335544320,0.22502,2.04527,1.81963
3,335544320,0.225015,2.14594,1.58976
14,335544320,0.227951,1.96901,1.65022
13,335544320,0.226768,2.05635,1.60642
8,335544320,0.269831,2.18348,1.77116
18,335544320,0.226836,2.32913,1.64195
12,335544320,0.226287,1.9795,1.77059
15,335544320,0.227983,2.0827,1.83486
16,335544320,0.228029,1.91625,1.71226
22,335544320,0.225718,2.23671,1.65909
23,335544320,0.227522,2.04038,1.70691
25,335544320,0.225981,2.25336,1.6702
21,335544320,0.228389,2.36194,1.6309
27,335544320,0.226397,2.15637,1.91703
24,335544320,0.226182,2.4,1.79028
17,335544320,0.230539,2.25585,2.0633
20,335544320,0.225057,1.94008,2.20286
7,335544320,0.38478,1.88407,2.59523
1,335544320,0.226048,3.79043,2.06064
19,335544320,0.228326,2.46351,1.61367
11,335544320,0.227211,2.08562,3.3651
10,335544320,1.08334,4.59243,2.35201
