num_threads,num_items,serial_time,nlogn_time,n_time
1,33554432,0.107497,0.234056,0.0754046
2,33554432,0.0207428,0.067583,0.0287876
3,33554432,0.0396124,0.0754726,0.0252949
4,33554432,0.0533957,0.12413,0.0265087
5,33554432,0.149012,0.108508,0.0319947
6,33554432,0.062785,0.0916974,0.0254201
7,33554432,0.0907428,0.114055,0.0272787
8,33554432,0.0210655,0.0626329,0.0220457
1,33554432,0.0284355,0.112803,0.0470309
2,33554432,0.0178419,0.185113,0.12614
3,33554432,0.078214,0.161176,0.034966
4,33554432,0.0270853,0.0581373,0.0229651
5,33554432,0.028237,0.0673808,0.0233093
6,33554432,0.0163247,0.0849649,0.0379121
7,33554432,0.0782848,0.10726,0.0260175
8,33554432,0.024917,0.0633024,0.0218128
1,33554432,0.0287714,0.109617,0.0468181
2,33554432,0.0166412,0.137874,0.0548239
3,33554432,0.0701396,0.129537,0.0329619
4,33554432,0.0202369,0.0530447,0.023915
5,33554432,0.0339367,0.0655125,0.0231925
6,33554432,0.142795,0.118642,0.0269792
7,33554432,0.0854315,0.171447,0.0338344
8,33554432,0.0210715,0.0635043,0.0215866
1,33554432,0.0273927,0.100977,0.0483529
2,33554432,0.0320151,0.132689,0.0377954
3,33554432,0.107741,0.111743,0.0275178
4,33554432,0.0209781,0.0542502,0.0233962
5,33554432,0.0296821,0.0633776,0.0223123
6,33554432,0.127751,0.122349,0.0257808
7,33554432,0.234907,0.10383,0.0288083
8,33554432,0.044617,0.148511,0.025247
1,33554432,0.0148652,0.109215,0.0479658
2,33554432,0.0353032,0.0808455,0.0322025
3,33554432,0.0854867,0.105762,0.029929
4,33554432,0.127348,0.125346,0.074249
5,33554432,0.0304671,0.0613431,0.0216197
6,33554432,0.0146761,0.101009,0.0231338
7,33554432,0.0192728,0.0711547,0.0251542
8,33554432,0.0525615,0.129671,0.0270483
