num_threads,load_time,convert_time,lock_init_time,coo_spmv_time,csr_spmv_time,coo_spmv_serial_time,csr_spmv_serial_time,store_time
21,0.728735,0.054152,0.000265,3.073444,0.089457,1.498327,1.603199,0.027465
5,0.683728,0.043091,0.000219,3.070940,0.330002,1.505254,1.590956,0.063683
24,0.724006,0.055077,0.000288,3.071053,0.077958,1.497971,1.606371,0.032424
25,0.702115,0.042433,0.000308,3.057978,0.074987,1.500687,1.595209,0.024027
18,0.707898,0.048308,0.000299,3.058348,0.098262,1.550674,1.597820,0.132112
19,0.690960,0.040264,0.000280,3.054703,0.094411,1.500461,1.586215,0.088902
26,0.755081,0.039814,0.000293,3.061241,0.069166,1.500402,1.598229,0.350924
20,0.697036,0.039970,0.000278,3.043133,0.091512,1.496908,1.584278,0.323057
6,0.711527,0.042339,0.000213,3.069278,0.273658,1.499474,1.595904,0.247839
4,0.696106,0.043122,0.000209,3.069006,0.404688,1.499891,1.592671,0.312414
27,0.736076,0.047201,0.000271,3.054489,0.074932,1.495810,1.592653,0.394087
14,0.684069,0.040350,0.000238,3.064359,0.119753,1.496278,1.587875,0.392553
8,0.686780,0.043646,0.000238,3.048432,0.208190,1.501310,1.588083,0.119815
7,0.691625,0.042055,0.000223,3.048848,0.236655,1.493926,1.587588,0.024765
9,0.708281,0.041663,0.000233,3.044642,0.184920,1.499648,1.587486,0.126642
28,0.717564,0.044056,0.000332,3.058742,0.068419,1.496096,1.591226,0.155043
22,0.719230,0.041074,0.000301,3.045463,0.081107,1.496209,1.586915,0.071163
23,0.727574,0.045013,0.000334,3.059138,0.081740,1.498460,1.588947,0.048262
10,0.708859,0.040392,0.000231,3.056745,0.165900,1.504646,1.586954,0.109307
15,0.696980,0.041340,0.000267,3.059558,0.115662,1.496552,1.584707,0.101223
16,0.701408,0.042950,0.000284,3.058164,0.114517,1.501074,1.587156,0.166751
17,0.724937,0.039648,0.000256,3.057227,0.104401,1.500024,1.584481,0.310942
11,0.709008,0.040381,0.000499,3.069097,0.151086,1.497430,1.585160,0.337326
13,0.707814,0.041691,0.000252,3.057022,0.130179,1.501299,1.586142,0.339889
12,0.718185,0.043580,0.000264,3.057294,0.144553,1.499022,1.590074,0.318335
2,0.684908,0.048003,0.000206,3.061059,0.806490,1.505089,1.591148,0.157058
3,0.714595,0.044318,0.000209,3.063354,0.535015,1.503212,1.585464,0.025284
1,0.695036,0.056804,0.000206,3.060404,1.584542,1.498504,1.585665,0.023283
